# Source: https://ssd.jpl.nasa.gov/sats/elem/ and https://ssd.jpl.nasa.gov/sats/phys_par/
# Snapshot generated 2026-06-19; duplicate ephemeris rows are deduplicated by satellite code.
planet,satellite,code,epoch_jd,semi_major_axis_km,eccentricity,argument_of_periapsis_deg,mean_anomaly_deg,inclination_deg,ascending_node_deg,period_days,radius_km
Earth,Moon,301,2451545.000000,384400,0.0554,318.15,135.27,5.16,125.08,27.322,1737.4
Mars,Phobos,401,2451545.000000,9375,0.015,216.3,189.7,1.1,169.2,0.3187,11.08
Mars,Deimos,402,2451545.000000,23457,0.000,0.0,205.0,1.8,54.3,1.2625,6.2
Jupiter,Io,501,2451545.000000,421800,0.004,49.1,330.9,0.0,0.0,1.762732,1821.49
Jupiter,Europa,502,2451545.000000,671100,0.009,45.0,345.4,0.5,184.0,3.525463,1560.8
Jupiter,Ganymede,503,2451545.000000,1070400,0.001,198.3,324.8,0.2,58.5,7.155588,2631.2
Jupiter,Callisto,504,2451545.000000,1882700,0.007,43.8,87.4,0.3,309.1,16.690440,2410.3
Jupiter,Amalthea,505,2451545.000000,181400,0.003,180.1,310.6,0.4,282.9,0.499918,83.5
Jupiter,Thebe,514,2451545.000000,221900,0.018,26.6,182.1,1.1,340.4,0.676105,49.3
Jupiter,Adrastea,515,2451545.000000,129000,0.000,0.0,214.5,0.0,0.0,0.298260,8.2
Jupiter,Metis,516,2451545.000000,128000,0.000,0.0,166.0,0.0,0.0,0.294779,21.5
Jupiter,Himalia,506,2451545.000000,11439000,0.160,321.1,78.3,28.4,64.2,249.9090,85
Jupiter,Elara,507,2451545.000000,11710700,0.212,129.9,346.9,27.8,112.8,258.8861,0
Jupiter,Pasiphae,508,2451545.000000,23463200,0.412,172.8,279.3,148.3,315.7,734.4215,0
Jupiter,Sinope,509,2451545.000000,23679300,0.262,354.3,157.4,157.3,308.0,744.5951,0
Jupiter,Lysithea,510,2451545.000000,11699100,0.117,48.3,328.5,27.7,9.2,258.5035,0
Jupiter,Carme,511,2451545.000000,23139200,0.261,6.5,259.5,164.6,115.5,719.2806,0
Jupiter,Ananke,512,2451545.000000,21029500,0.238,78.8,271.7,147.6,13.7,623.1097,0
